Set Number,Numbers
1221,"7, 9, 11, 12, 16"
1222,"4, 5, 6, 10, 12, 15"
1223,"10, 4, 7"
1224,"1, 4, 9, 15"
1225,"3, 4, 13"
1226,"16, 18, 12, 7"
1227,"1, 6, 7, 8, 11, 12, 13, 14, 16, 19"
1228,"1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1229,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 19, 20"
1230,"1, 2, 3, 5, 6, 8, 9, 10, 13, 18, 20"
1231,"3, 5, 6, 8, 10, 13, 15"
1232,"9, 19, 12, 7"
1233,"1, 2, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 20"
1234,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20"
1235,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20"
1236,"4, 6, 7, 8, 9, 10, 14, 16, 17"
1237,"1, 4, 6, 9, 11, 14, 16, 19, 20"
1238,"2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 20"
1239,"4, 5, 6, 8, 12, 15, 16, 17, 18, 19, 20"
1240,"1, 3, 4, 5, 6, 7, 8, 9, 15, 17, 20"
1241,"1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20"
1242,"2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 17, 18"
1243,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1244,"4, 6, 7, 11, 15, 17"
1245,"1, 5, 6, 7, 8, 10, 14, 16, 19"
1246,"2, 3, 10, 13, 14, 17"
1247,"4, 7, 8, 11, 12, 19"
1248,"1, 5, 6, 7, 8, 12, 14, 15, 16, 17, 19, 20"
1249,"2, 10, 11, 15, 20"
1250,"1, 2, 5, 7, 8, 9, 10, 12, 13, 14, 19, 20"
1251,"1, 2, 4, 5, 8, 9, 10, 12, 13, 14, 15, 18, 20"
1252,"1, 3, 7, 9, 10, 11, 12, 13, 14, 15, 18, 19"
1253,"2, 5, 6, 9, 12, 17"
1254,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1255,"18, 4, 6, 15"
1256,"3, 4, 10, 12, 14, 16, 17, 18, 20"
1257,"1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 17, 19, 20"
1258,"1, 2, 3, 5, 6, 10, 11, 12, 14, 17, 18"
1259,"2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18"
1260,"2, 3, 5, 8, 9, 13, 14, 16, 18"
1261,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1262,"5, 6, 8, 9, 14, 15, 16, 17, 18"
1263,"2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20"
1264,"3, 4, 12, 16, 17, 19"
1265,"3, 4, 6, 9, 11, 14, 15, 19"
1266,"1, 2, 3, 5, 6, 7, 9, 10, 11, 16, 17"
1267,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18"
1268,"1, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18, 20"
1269,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20"
1270,"16, 14"
1271,"1, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1272,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1273,"2, 3, 4, 7, 9, 10, 13, 17, 19, 20"
1274,"1, 4, 5, 6, 7, 9, 10, 11, 14, 16, 17, 20"
1275,"1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 17, 20"
1276,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20"
1277,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1278,"6, 9, 10, 12, 13, 15, 17, 18"
1279,"3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
1280,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1281,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1282,"2, 3, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19"
1283,"1, 3, 4, 5, 6, 7, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20"
1284,"1, 4, 6, 7, 9, 10, 11, 14, 16, 17, 19"
1285,"4, 7, 10, 13, 14, 16, 18, 19"
1286,"1, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 19"
1287,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 18, 20"
1288,"2, 9, 12, 14, 16, 20"
1289,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1290,"2, 4, 7, 11, 12, 16, 19, 20"
1291,"1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1292,"1, 4, 6, 7, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20"
1293,"1, 2, 3, 5, 6, 10, 11, 14, 16, 17, 18, 19, 20"
1294,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1295,"1, 3, 4, 5, 6, 9, 10, 12, 14, 15, 16, 18, 20"
1296,"1, 4, 8, 10, 12, 15"
1297,"1, 4, 5, 8, 14"
1298,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1299,"2, 4, 10, 17, 18, 19"
1300,"1, 4, 5, 6, 8, 13, 15, 16"
1301,"1, 2, 3, 4, 7, 8, 13, 16, 18, 19, 20"
1302,"3, 5, 6, 13, 14, 18, 19"
1303,"3, 4, 12, 13, 15"
1304,"5, 7, 8, 11, 13, 15, 19"
1305,"10, 11, 12, 15, 16, 17, 18"
1306,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1307,"19, 15"
1308,"8, 9, 14, 15"
1309,"8, 9, 10, 11, 13, 14, 15"
1310,"1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1311,"4, 6, 9, 13, 19, 20"
1312,"1, 5, 6, 12, 14, 16"
1313,"2, 4, 5, 6, 7, 8, 9, 11, 13, 16, 18, 19, 20"
1314,"4, 6, 7, 9, 14, 15, 18, 19"
1315,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
1316,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1317,"3, 8, 9, 15, 17, 20"
1318,"2, 6, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1319,"1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1320,"1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20"
1321,"2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20"
1322,"2, 3, 10, 12, 13, 14, 15, 18, 20"
1323,"1, 2, 4, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1324,"17, 14"
1325,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1326,"10, 13, 14, 18, 20"
1327,"1, 2, 3, 4, 5, 7, 13, 14, 15, 16, 19, 20"
1328,"8, 14"
1329,"1, 2, 5, 6, 8, 10, 11, 13, 14, 15, 16, 18, 20"
1330,"4, 8, 10, 13, 14, 15, 16, 17, 18"
1331,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1332,"1, 2, 3, 6, 8, 20"
1333,"1, 8, 11, 13, 17, 20"
1334,"1, 2, 3, 7, 8, 9, 10, 15, 17"
1335,"1, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19"
1336,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
1337,"1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 17, 18, 19, 20"
1338,"5, 6, 8, 9, 11, 15, 16, 17, 18, 19"
1339,"2, 3, 4, 10, 11, 13, 15, 16, 20"
1340,"19, 12, 7"
1341,"19, 12, 20, 7"
1342,"1, 3, 17, 18, 20"
1343,5
1344,"2, 3, 8, 16, 18"
1345,"1, 2, 3, 4, 5, 6, 9, 13, 14, 15, 20"
1346,"5, 8, 10, 14, 15, 16, 17, 19"
1347,"6, 9, 10, 12, 15, 17, 20"
1348,"2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 17, 18"
1349,"5, 8, 11, 12, 13, 20"
1350,"2, 4, 5, 7, 10, 11, 12, 14, 15, 16, 18, 19, 20"
1351,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19"
1352,"1, 2, 3, 6, 8, 10, 14, 15, 16, 19"
1353,"6, 7, 15, 17, 19"
1354,"2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20"
1355,"1, 4, 6, 7, 8, 9, 11, 12, 14, 15, 17, 19"
1356,"1, 2, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
1357,"1, 3, 7, 9, 10, 11, 12, 13, 14, 17, 18, 20"
1358,"7, 8, 14, 15, 18, 20"
1359,"1, 4, 7, 8, 12, 15"
1360,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1361,"8, 17, 10, 19"
1362,"3, 5, 8, 10, 17"
1363,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20"
1364,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
1365,"1, 3, 4, 5, 6, 7, 10, 18, 19, 20"
1366,"1, 2, 4, 6, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20"
1367,"18, 19, 5"
1368,"9, 11, 12, 13, 14, 15, 17, 19"
1369,"2, 3, 4, 10, 13, 14, 16, 18"
1370,"1, 8, 11, 14, 15, 16, 17, 18, 19, 20"
1371,"2, 6"
1372,"2, 5, 6, 8, 10, 11, 16"
1373,"1, 2, 12"
1374,"1, 8, 9, 11, 17"
1375,"2, 3, 4, 5, 6, 9, 10, 14, 16, 17, 18, 19"
1376,"1, 4, 7, 9, 11, 12, 13, 19"
1377,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1378,"1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20"
1379,"2, 4, 9, 11, 12, 13, 16, 20"
1380,"1, 3, 4, 10, 13, 15, 16"
1381,"2, 5, 6, 12, 13, 16, 17"
1382,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1383,"3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20"
1384,"1, 2, 5, 7, 8, 9, 11, 12, 14, 15, 16, 18, 20"
1385,"17, 2, 20"
1386,"1, 3, 8, 12, 14, 15, 18"
1387,"1, 4, 10, 11, 14, 15, 17"
1388,"1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20"
1389,"2, 4, 6, 7, 9, 10, 12, 13, 14, 15, 17, 19, 20"
1390,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
1391,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1392,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
1393,"2, 3, 4, 10, 15, 16, 18, 20"
1394,"1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 15, 16, 17, 18, 19"
1395,"5, 14, 15, 16, 19, 20"
1396,"3, 4, 5, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19"
1397,"2, 3, 4, 5, 6, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20"
1398,"2, 4, 5, 9, 10, 15, 19, 20"
1399,"3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
1400,"2, 5, 6, 12, 16, 17, 18, 20"
1401,"1, 2, 3, 4, 5, 6, 7, 10, 15, 17, 19, 20"
1402,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
1403,"3, 5"
1404,"1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 14, 16, 17, 18, 19"
1405,"3, 4, 7, 11, 15, 18"
1406,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1407,"1, 3, 4, 5, 6, 9, 11, 12, 13, 14"
1408,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19"
1409,"10, 19, 4"
1410,"1, 2, 3, 4, 5, 8, 9, 10, 13, 15, 16, 17, 18, 20"
1411,"9, 2, 7"
1412,"4, 6, 7, 9, 12, 13, 14, 15, 16"
1413,"2, 3, 4, 5, 7, 8, 9, 11, 13, 16, 17"
1414,"1, 2, 3, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1415,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 19, 20"
1416,"8, 1, 15"
1417,"3, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
1418,"1, 4, 5, 6, 7, 9, 10, 13, 14, 15, 17, 19"
1419,"2, 3, 4, 6, 7, 10, 11, 12, 14, 16"
1420,"4, 5, 7, 8, 9, 12, 13, 14, 15, 17, 18, 19, 20"
1421,"2, 4, 5, 6, 11, 13, 16, 20"
1422,"2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19"
1423,"1, 2, 3, 4, 5, 6, 8, 13, 14, 17, 18, 20"
1424,"19, 11, 12, 20"
1425,"1, 2, 5, 6, 8, 9, 12, 14, 16, 18, 19, 20"
1426,"2, 6, 9, 10, 16, 17, 19"
1427,"9, 3, 12, 15"
1428,"8, 3, 19, 12"
1429,"1, 3, 6, 7"
1430,"3, 4, 9, 12, 13, 16, 18, 19"
1431,"16, 19, 2, 3"
1432,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1433,"4, 5, 6, 8, 9, 10, 11, 13, 16, 17, 18"
1434,"1, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1435,"1, 2, 5, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1436,"3, 7, 9, 11, 12, 13, 18"
1437,"4, 6, 8, 11, 12, 13, 15, 18, 20"
1438,"1, 10, 12, 14, 15, 16, 18, 19"
1439,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1440,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1441,"16, 13, 14"
1442,"1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20"
1443,"3, 8, 9, 10, 15, 17, 19"
1444,"3, 6, 8, 10, 15, 17, 18, 20"
1445,"2, 3, 4, 6, 9, 10, 13, 15, 16, 18, 20"
1446,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20"
1447,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
1448,"1, 2, 4, 5, 6, 15, 16"
1449,"1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18"
1450,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1451,"1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 15, 17, 18, 19, 20"
1452,"1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19"
1453,"6, 8, 9, 10, 12, 15"
1454,"11, 12, 13, 15, 16, 20"
1455,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1456,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
1457,"2, 4, 5, 8, 9, 12, 13, 14, 15, 20"
1458,"1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 17"
1459,"7, 11, 13, 15, 16, 17"
1460,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1461,"2, 3, 7, 11, 14"
1462,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
1463,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20"
1464,"2, 3, 4, 6, 9, 10, 11, 17, 18, 19, 20"
1465,"2, 3, 4, 5, 6, 7, 9, 11, 14, 15, 16, 19"
1466,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1467,"1, 3, 5, 6, 9, 10, 13, 14, 16, 17, 18"
1468,"1, 3, 4, 7, 11, 12, 14, 20"
1469,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1470,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1471,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 15, 16, 17, 20"
1472,"2, 4, 5, 6, 10, 11, 13, 14, 15, 17, 18, 19"
1473,"4, 5, 6, 7, 8, 9, 13, 14, 15, 18, 19"
1474,"1, 2, 3, 5, 6, 8, 10, 15, 18"
1475,"1, 3, 4, 6, 8, 9, 10, 11, 14, 15, 16, 18, 19"
1476,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1477,"5, 6, 7, 8, 9, 11, 14, 16, 18"
1478,"8, 9, 18, 5"
1479,"1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 17, 18, 19"
1480,"6, 9, 14, 15, 19, 20"
1481,"8, 1, 11"
1482,"1, 4, 5, 6, 10, 11, 13, 15, 17, 19, 20"
1483,"2, 3, 4, 5, 7, 9, 10, 11, 12, 14, 16, 17, 19, 20"
1484,"4, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20"
1485,"2, 5, 6, 7, 10, 11, 12, 14, 15, 16, 20"
1486,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1487,"2, 3, 4, 5, 6, 7, 8, 10, 13, 16, 17, 18, 20"
1488,"7, 8, 10, 13, 14, 15, 16, 18"
1489,"17, 2, 10, 7"
1490,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
1491,"3, 4, 6, 8, 9, 10, 11, 12, 14, 15, 18"
1492,"8, 4"
1493,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20"
1494,"1, 9, 7"
1495,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1496,"2, 3, 4, 8, 9, 13, 14, 15, 16, 18"
1497,"1, 4, 7, 8, 9, 13, 14, 16, 17, 18, 19, 20"
1498,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 14, 19, 20"
1499,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1500,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20"
1501,"2, 11, 12, 13, 19"
1502,"1, 2, 3, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20"
1503,"1, 3, 4, 15, 16"
1504,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1505,"2, 3, 5, 6, 10, 13, 16, 18"
1506,"4, 5, 8, 11, 13, 17, 18, 19"
1507,"2, 3, 4, 5, 8, 9, 10, 12, 13, 15, 17, 18, 19"
1508,"1, 3, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18"
1509,"17, 14, 1"
1510,"2, 3, 6, 7, 9, 12, 13, 14, 19, 20"
1511,"2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
1512,"1, 2, 3, 4, 5, 9, 10, 13, 14, 16, 17, 18"
1513,"1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18"
1514,"1, 6, 7, 11, 12, 13, 17, 20"
1515,"1, 2, 12, 14, 15, 16, 17, 20"
1516,"2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 18, 19, 20"
1517,"5, 6, 10, 16, 18"
1518,"2, 1, 10, 19"
1519,"1, 6, 9, 13, 14, 19"
1520,"20, 18, 4, 5"
1521,"1, 2, 7, 11, 12, 16, 17"
1522,"1, 4, 5, 9, 12"
1523,"1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 15, 16, 18, 20"
1524,"1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
1525,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
1526,"16, 9, 4"
1527,"16, 1"
1528,"3, 7, 9, 10, 16, 19, 20"
1529,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19"
1530,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1531,"16, 11"
1532,"2, 4, 5, 6, 7, 12, 14, 15, 17"
1533,"1, 2, 3, 4, 7, 12, 13, 17, 18, 19"
1534,"3, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19"
1535,"1, 4, 9, 10, 11, 14, 18"
1536,"1, 3, 5, 8, 9, 10, 11, 13, 14, 19"
1537,"6, 8, 10, 13, 17"
1538,"1, 5, 7, 8, 9, 10, 12, 13, 15, 17, 19, 20"
1539,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
1540,"2, 5, 8, 11, 14, 18, 20"
1541,"1, 18, 13"
1542,"10, 12, 14, 15, 16, 19"
1543,"3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 19, 20"
1544,"1, 4, 5, 6, 10, 13, 14, 19"
1545,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1546,"9, 19, 4, 17"
1547,"1, 9"
1548,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20"
1549,"1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 17, 18, 19, 20"
1550,"1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20"
1551,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1552,"4, 8, 11, 13, 16, 17"
1553,"2, 3, 7, 8, 13, 14, 17, 18, 19"
1554,"2, 3, 5, 8, 10, 11, 12, 14, 15, 16, 17, 18, 20"
1555,"11, 3, 15, 7"
1556,"8, 9, 11, 17, 18"
1557,"16, 19, 3, 7"
1558,"6, 7, 10, 11, 15, 16, 19"
1559,"7, 10, 12, 13, 17, 18"
1560,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1561,"1, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
1562,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1563,"18, 6, 15"
1564,"2, 3, 5, 10, 11, 12, 13, 15, 18"
1565,"4, 5, 8, 9, 12, 13, 14"
1566,"4, 5, 10, 12, 13, 15, 18, 20"
1567,"1, 2, 3, 4, 5, 6, 7, 9, 11, 14, 15, 16, 17, 19, 20"
1568,"2, 5, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19"
1569,"2, 3, 4, 5, 6, 7, 10, 11, 13, 16, 17, 18, 19, 20"
1570,"1, 2, 4, 5, 8, 9, 11, 12, 15, 16"
1571,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20"
1572,"3, 20"
1573,"1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
1574,"1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 16, 17, 19, 20"
1575,"2, 3, 20, 15"
1576,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19"
1577,"1, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18"
1578,"1, 3, 5, 10, 17"
1579,"8, 10, 15, 16, 19"
1580,"3, 4, 5, 9, 13, 14, 15, 16, 19"
1581,"1, 3, 4, 5, 6, 9, 13, 15, 17, 19, 20"
1582,"5, 6, 8, 9, 11, 17, 18"
1583,"3, 5, 8, 10, 12, 13, 14, 20"
1584,"3, 4, 5, 6, 7, 9, 11, 12, 18, 19, 20"
1585,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1586,"2, 6, 7, 9, 10, 12, 13, 19"
1587,"2, 3, 6, 7, 10, 11, 12, 16, 18, 19, 20"
1588,"1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 19, 20"
1589,"2, 3, 5, 6, 7, 10, 11, 13, 14, 15, 17, 18, 20"
1590,"1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20"
1591,"16, 1, 20"
1592,"1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 15, 17, 18, 19, 20"
1593,"1, 3, 4, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19"
1594,"1, 3, 5, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19"
1595,"2, 3, 4, 6, 12, 13, 14, 15, 16, 17, 18, 19, 20"
1596,"2, 3, 4, 7"
1597,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20"
